game_id,team_id,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100301,1610612738,75.0,55.56,32.35,24,25,11,8,20,23,32,45,34
g0042100301,1610612748,88.24,58.0,33.33,30,29,10,4,21,20,34,50,30
g0042100302,1610612738,91.3,52.27,50.0,21,23,20,2,21,20,23,44,40
g0042100302,1610612748,72.73,53.85,29.41,16,28,10,6,24,24,22,52,34
g0042100303,1610612738,76.67,57.89,37.5,23,22,12,7,16,20,30,38,32
g0042100303,1610612748,85.71,54.24,33.33,12,32,11,2,27,22,14,59,33
g0042100304,1610612738,84.21,52.27,23.53,32,23,8,6,21,26,38,44,34
g0042100304,1610612748,57.14,29.63,38.89,8,16,14,6,38,22,14,54,36
g0042100305,1610612738,73.91,60.53,30.3,17,23,10,6,15,23,23,38,33
g0042100305,1610612748,92.86,46.94,15.56,13,23,7,1,26,38,14,49,45
g0042100306,1610612738,90.32,53.85,33.33,28,21,11,3,18,22,31,39,33
g0042100306,1610612748,96.0,48.84,42.86,24,21,15,1,22,20,25,43,35
g0042100307,1610612738,79.17,45.28,34.38,19,24,11,5,29,21,24,53,32
g0042100307,1610612748,66.67,53.45,20.0,16,31,6,8,27,24,24,58,30
g0042100311,1610612744,62.5,67.92,34.48,10,36,10,6,17,19,16,53,29
g0042100311,1610612742,66.67,52.63,22.92,14,20,11,7,18,37,21,38,48
g0042100312,1610612744,80.0,59.26,50.0,20,32,14,5,22,14,25,54,28
g0042100312,1610612742,75.86,48.48,46.67,22,16,21,7,17,24,29,33,45
g0042100313,1610612744,88.0,55.1,34.38,22,27,11,3,22,21,25,49,32
g0042100313,1610612742,79.41,56.67,28.89,27,17,13,7,13,32,34,30,45
g0042100314,1610612744,65.38,55.36,35.71,17,31,10,9,25,18,26,56,28
g0042100314,1610612742,77.27,53.85,46.51,17,21,20,5,18,23,22,39,43
g0042100315,1610612744,100.0,59.62,38.89,16,31,14,0,21,22,16,52,36
g0042100315,1610612742,76.0,50.0,40.48,19,20,17,6,20,25,25,40,42
g0042100401,1610612744,73.33,46.51,42.22,11,20,19,4,23,26,15,43,45
g0042100401,1610612738,81.25,50.0,51.22,13,22,21,3,22,20,16,44,41
g0042100402,1610612744,70.0,48.98,40.54,14,24,15,6,25,22,20,49,37
g0042100402,1610612738,76.47,34.88,40.54,13,15,15,4,28,22,17,43,37
g0042100403,1610612744,86.67,55.26,37.5,13,21,15,2,17,25,15,38,40
g0042100403,1610612738,70.83,55.56,37.14,17,30,13,7,24,22,24,54,35
g0042100404,1610612744,80.0,52.08,34.88,12,25,15,3,23,28,15,48,43
g0042100404,1610612738,73.68,40.43,39.47,14,19,15,5,28,23,19,47,38
g0042100405,1610612744,86.67,66.67,22.5,13,32,9,2,16,31,15,48,40
g0042100405,1610612738,67.74,46.51,34.38,21,20,11,10,23,21,31,43,32
